,_id,isLeafInferred,isLeafStated,conceptId,defaultTerm,definitionStatus,active,module
0,63866b23081b3c130f5cb2c8,False,True,274100004,Cerebral hemorrhage (disorder),Fully defined,True,900000000000207008
1,63866b23081b3c130f5cb37b,True,True,208322000,Closed Galeazzi fracture (disorder),Fully defined,True,900000000000207008
2,63866b23081b3c130f5cba6a,False,True,40108008,Thalassemia (disorder),Primitive,True,900000000000207008
3,63866b24081b3c130f5cbc19,False,True,40122008,Pneumoconiosis (disorder),Fully defined,True,900000000000207008
4,63866b25081b3c130f5cc0ae,False,True,281050002,Livebirth (finding),Primitive,True,900000000000207008
5,63866b25081b3c130f5cc20c,False,True,210762009,"Traumatic amputation, through hip (disorder)",Fully defined,True,900000000000207008
6,63866b25081b3c130f5cc59e,False,True,210720002,Degloving injury of foot (disorder),Fully defined,True,900000000000207008
7,63866b26081b3c130f5cc9a7,False,True,210732003,Degloving injury toe (disorder),Fully defined,True,900000000000207008
8,63866b27081b3c130f5ccac3,False,True,9468002,Closed fracture of carpal bone (disorder),Fully defined,True,900000000000207008
9,63866b27081b3c130f5ccdb3,True,True,210703001,"Degloving injury, ankle (disorder)",Fully defined,True,900000000000207008
10,63866b27081b3c130f5ccdca,True,True,210702006,Degloving injury of lower leg (disorder),Fully defined,True,900000000000207008
11,63866b28081b3c130f5cd282,False,True,414943006,Open fracture of tibia AND fibula (disorder),Fully defined,True,900000000000207008
12,63866b28081b3c130f5cd8af,False,True,10087007,Infection caused by Schistosoma (disorder),Fully defined,True,900000000000207008
13,63866b2a081b3c130f5cddbf,False,True,10050004,Contusion of chest (disorder),Fully defined,True,900000000000207008
14,63866b2a081b3c130f5ce02b,True,True,210678002,Degloving injury of thigh (disorder),Fully defined,True,900000000000207008
15,63866b2a081b3c130f5ce218,True,True,210650003,"Traumatic amputation, above elbow (disorder)",Primitive,True,900000000000207008
16,63866b2a081b3c130f5ce353,False,True,210649003,"Traumatic amputation, through shoulder (disorder)",Fully defined,True,900000000000207008
17,63866b2a081b3c130f5ce360,False,True,210642007,"Traumatic amputation, below elbow (disorder)",Fully defined,True,900000000000207008
