,target_code,target_description,concept_x,concept_y
0,240203005,Rupture of Baker's cyst - knee,,Rupture of popliteal cyst
1,270887007,Rupture of popliteal space synovial cyst,,Rupture of popliteal cyst
2,202955005,Rupture of popliteal: [space synovial cyst] or [Baker's cyst - knee] or [bursa],,Rupture of popliteal cyst
3,155301003,Malignant hypertension,Congestive heart failure,Hypertensive heart disease with (congestive) heart failure
4,286951002,Malignant hypertension,Congestive heart failure,Hypertensive heart disease with (congestive) heart failure
5,70272006,Malignant hypertension,Congestive heart failure,Hypertensive heart disease with (congestive) heart failure
6,155301003,Malignant hypertension,Congestive heart failure,Hypertensive heart disease with (congestive) heart failure
7,286951002,Malignant hypertension,Congestive heart failure,Hypertensive heart disease with (congestive) heart failure
8,70272006,Malignant hypertension,Congestive heart failure,Hypertensive heart disease with (congestive) heart failure
9,155301003,Malignant hypertension,Congestive heart failure,Hypertensive heart disease with (congestive) heart failure
10,286951002,Malignant hypertension,Congestive heart failure,Hypertensive heart disease with (congestive) heart failure
11,70272006,Malignant hypertension,Congestive heart failure,Hypertensive heart disease with (congestive) heart failure
12,155301003,Malignant hypertension,Congestive heart failure,Hypertensive heart disease with (congestive) heart failure
13,286951002,Malignant hypertension,Congestive heart failure,Hypertensive heart disease with (congestive) heart failure
14,70272006,Malignant hypertension,Congestive heart failure,Hypertensive heart disease with (congestive) heart failure
15,54016002,Mobitz type I incomplete atrioventricular block,,"Atrioventricular block, second degree"
16,195293004,(Peripheral vascular disease (& [ischaemic] or [other])) or (ischaemia of legs) or (peripheral ischaemia),Peripheral vascular disease,
17,233961000,Lower limb ischaemia,Peripheral vascular disease,
18,195293004,(Peripheral vascular disease (& [ischaemic] or [other])) or (ischaemia of legs) or (peripheral ischaemia),Peripheral vascular disease,
19,233961000,Lower limb ischaemia,Peripheral vascular disease,
20,233959009,Upper limb ischaemia,Peripheral vascular disease,
21,233959009,Upper limb ischaemia,Peripheral vascular disease,
22,22689002,Threatened abortion (antepartum),,Threatened abortion
23,198883001,Threatened abortion - delivered,,Threatened abortion
24,198884007,Threatened abortion - not delivered,,Threatened abortion
25,647941000000102,Threatened abortion NOS,,Threatened abortion
26,198885008,Threatened abortion NOS,,Threatened abortion
27,198882006,Threatened abortion unspecified,,Threatened abortion
28,609001000000100,Threatened abortion unspecified,,Threatened abortion
29,71115004,"Threatened abortion, delivered",,Threatened abortion
30,111434009,"Threatened abortion, unspecified as to episode of care",,Threatened abortion
31,156098004,Threatened miscarriage,,Threatened abortion
32,54048003,Threatened miscarriage,,Threatened abortion
33,441071000000101,[X]Foreign body in other and combined sites of alimentary tract,,Foreign body in anus and rectum
34,157561003,Foreign body in alimentary tract,,Foreign body in anus and rectum
35,157568009,Foreign body in alimentary tract NOS,,Foreign body in anus and rectum
36,269230001,Foreign body in alimentary tract NOS,,Foreign body in anus and rectum
37,650311000000103,Foreign body in alimentary tract NOS,,Foreign body in anus and rectum
38,33334006,Foreign body in digestive tract,,Foreign body in anus and rectum
39,286562008,Foreign body of digestive structure,,Foreign body in anus and rectum
40,441071000000101,[X]Foreign body in other and combined sites of alimentary tract,,Foreign body in anus and rectum
41,157561003,Foreign body in alimentary tract,,Foreign body in anus and rectum
42,157568009,Foreign body in alimentary tract NOS,,Foreign body in anus and rectum
43,269230001,Foreign body in alimentary tract NOS,,Foreign body in anus and rectum
44,650311000000103,Foreign body in alimentary tract NOS,,Foreign body in anus and rectum
45,33334006,Foreign body in digestive tract,,Foreign body in anus and rectum
46,286562008,Foreign body of digestive structure,,Foreign body in anus and rectum
47,467141000000107,[X]Other specified inflammatory liver diseases,,Alcoholic hepatitis
48,29001004,Hepatitis,,Alcoholic hepatitis
49,197351001,Hepatitis unspecified,,Alcoholic hepatitis
50,578961000000105,Hepatitis unspecified,,Alcoholic hepatitis
51,660801000000101,Hepatitis unspecified NOS,,Alcoholic hepatitis
52,197353003,Hepatitis unspecified NOS,,Alcoholic hepatitis
53,128241005,Inflammatory disease of liver,,Alcoholic hepatitis
54,585261000000101,Other hepatitis,,Alcoholic hepatitis
55,286878001,Other hepatitis,,Alcoholic hepatitis
56,154350000,Other hepatitis,,Alcoholic hepatitis
57,467141000000107,[X]Other specified inflammatory liver diseases,,Alcoholic hepatitis
58,29001004,Hepatitis,,Alcoholic hepatitis
59,197351001,Hepatitis unspecified,,Alcoholic hepatitis
60,578961000000105,Hepatitis unspecified,,Alcoholic hepatitis
61,660801000000101,Hepatitis unspecified NOS,,Alcoholic hepatitis
62,197353003,Hepatitis unspecified NOS,,Alcoholic hepatitis
