"","snomed_code","snomed_description","icd10_code","icd10_description"
"0","240203005","Rupture of Baker's cyst - knee","M66.0","Rupture of popliteal cyst"
"1","270887007","Rupture of popliteal space synovial cyst","M66.0","Rupture of popliteal cyst"
"2","202955005","Rupture of popliteal: [space synovial cyst] or [Baker's cyst - knee] or [bursa]","M66.0","Rupture of popliteal cyst"
"3","155301003","Malignant hypertension","I10","Essential (primary) hypertension"
"4","286951002","Malignant hypertension","I10","Essential (primary) hypertension"
"5","70272006","Malignant hypertension","I10","Essential (primary) hypertension"
"6","54016002","Mobitz type I incomplete atrioventricular block","I44.1","Atrioventricular block, second degree"
"10","22689002","Threatened abortion (antepartum)","O20.0","Threatened abortion"
"11","198883001","Threatened abortion - delivered","O20.0","Threatened abortion"
"12","198884007","Threatened abortion - not delivered","O20.0","Threatened abortion"
"13","647941000000102","Threatened abortion NOS","O20.0","Threatened abortion"
"14","198885008","Threatened abortion NOS","O20.0","Threatened abortion"
"15","198882006","Threatened abortion unspecified","O20.0","Threatened abortion"
"16","609001000000100","Threatened abortion unspecified","O20.0","Threatened abortion"
"17","71115004","Threatened abortion, delivered","O20.0","Threatened abortion"
"18","111434009","Threatened abortion, unspecified as to episode of care","O20.0","Threatened abortion"
"19","156098004","Threatened miscarriage","O20.0","Threatened abortion"
"20","54048003","Threatened miscarriage","O20.0","Threatened abortion"
"28","467141000000107","[X]Other specified inflammatory liver diseases","K75.9","Inflammatory liver disease, unspecified"
"29","29001004","Hepatitis","K75.9","Inflammatory liver disease, unspecified"
"30","197351001","Hepatitis unspecified","K75.9","Inflammatory liver disease, unspecified"
"31","578961000000105","Hepatitis unspecified","K75.9","Inflammatory liver disease, unspecified"
"32","660801000000101","Hepatitis unspecified NOS","K75.9","Inflammatory liver disease, unspecified"
"33","197353003","Hepatitis unspecified NOS","K75.9","Inflammatory liver disease, unspecified"
"34","128241005","Inflammatory disease of liver","K75.9","Inflammatory liver disease, unspecified"
"35","585261000000101","Other hepatitis","K75.9","Inflammatory liver disease, unspecified"
"36","286878001","Other hepatitis","K75.9","Inflammatory liver disease, unspecified"
"37","154350000","Other hepatitis","K75.9","Inflammatory liver disease, unspecified"
"38","198861000","Readmission for retained products of conception, spontaneous abortion","K75.9","Inflammatory liver disease, unspecified"
"43","195403006","(Deep vein phlebitis and thrombophlebitis of the leg) or (deep vein thrombosis)","I80.2","Phlebitis and thrombophlebitis of other deep vessels of lower extremities"
"44","266328001","(Deep venous thrombosis of leg [& non-obstetric]) or (non-puerperal milk-leg) or (deep thrombophlebitis of leg)","I80.2","Phlebitis and thrombophlebitis of other deep vessels of lower extremities"
"45","155454004","(Deep venous thrombosis of leg [& non-obstetric]) or (non-puerperal milk-leg) or (deep thrombophlebitis of leg)","I80.2","Phlebitis and thrombophlebitis of other deep vessels of lower extremities"
"46","366912000","Deep vein thrombosis of lower limb","I80.2","Phlebitis and thrombophlebitis of other deep vessels of lower extremities"
"47","128053003","Deep venous thrombosis","I80.2","Phlebitis and thrombophlebitis of other deep vessels of lower extremities"
"48","370248003","Deep venous thrombosis of leg","I80.2","Phlebitis and thrombophlebitis of other deep vessels of lower extremities"
"49","128057002","Deep venous thrombosis of lower extremity","I80.2","Phlebitis and thrombophlebitis of other deep vessels of lower extremities"
"50","128045006","Cellulitis","L03.9","Cellulitis, unspecified"
"51","703721000000102","Cellulitis - digit NOS","L03.9","Cellulitis, unspecified"
"52","288211000","Cellulitis - digit NOS","L03.9","Cellulitis, unspecified"
"53","156307008","Cellulitis - digit NOS","L03.9","Cellulitis, unspecified"
"54","677441000000105","Cellulitis NOS","L03.9","Cellulitis, unspecified"
"55","156317003","Cellulitis NOS","L03.9","Cellulitis, unspecified"
"56","200693005","Cellulitis NOS","L03.9","Cellulitis, unspecified"
"57","38541002","Phlegmonous stomatitis AND cellulitis","L03.9","Cellulitis, unspecified"
"58","233765002","Respiratory failure without hypercapnia","J96.0","Acute respiratory failure"
