,target_system,target_version,target_code,target_description,concept
0,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,1415005,Lymphangitis (disorder),Cellulitis
1,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,442025000,Acute exacerbation of chronic asthmatic bronchitis (disorder),Chronic obstructive pulmonary disease
2,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,6655004,Acute laryngitis (disorder),"Ear, nose and throat infections"
3,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,194849004,Generalized ischemic myocardial dysfunction (disorder),Congestive heart failure
4,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,361259002,Cystoscopy and cystodiathermy (procedure),Convulsions and epilepsy
5,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,266451002,Allergic gastroenteritis and colitis (disorder),Dehydration and gastroenteritis
6,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,111552007,Diabetes mellitus without complication (disorder),Diabetes complications
7,,,,,Pyelonephritis
8,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,428255004,Tubulointerstitial nephritis (disorder),Pyelonephritis
9,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,1415005,Lymphangitis (disorder),Cellulitis
10,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,5148006,Hypertensive heart disease with congestive heart failure (disorder),Congestive heart failure
11,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,194779001,Hypertensive heart and renal disease with (congestive) heart failure (disorder),Congestive heart failure
12,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,17450006,Myoclonus (finding),Convulsions and epilepsy 
13,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,442025000,Acute exacerbation of chronic asthmatic bronchitis (disorder),Atrial fibrillation and flutter 
14,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,397503006,Salmonella enterica subspecies arizonae infection (disorder),Dehydration and gastroenteritis
15,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,55809007,Colitis caused by radiation (disorder),Dehydration and gastroenteritis
16,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,450005,Ulcerative stomatitis (disorder),Dental conditions
17,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190368000,Type I diabetes mellitus with ulcer (disorder),Diabetes complications
18,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,111552007,Diabetes mellitus without complication (disorder),Diabetes complications
19,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,6655004,Acute laryngitis (disorder),"Ear, nose and throat infections"
20,,,,,Influencia and pneumonia
21,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,80126007,Plummer-Vinson syndrome (disorder),Iron-deficiency anaemia
22,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,128845005,Refractory anemia (morphologic abnormality),Iron-deficiency anaemia
23,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,89748001,Acute gastric ulcer with hemorrhage (disorder),Perforated/bleeding ulcer
24,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,8765009,Hematemesis (disorder),Perforated/bleeding ulcer
25,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,68226007,Acute cystitis (disorder),Pyelonephritis
26,,,,,Pyelonephritis
27,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,194821006,Coronary thrombosis not resulting in myocardial infarction (disorder),angina
28,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,71884009,Precordial pain (finding),angina
29,,,,,Cellulitis
30,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,194849004,Generalized ischemic myocardial dysfunction (disorder),Congestive heart failure
31,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,361259002,Cystoscopy and cystodiathermy (procedure),Convulsions and epilepsy
32,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,266451002,Allergic gastroenteritis and colitis (disorder),Dehydration and gastroenteritis
33,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,266451002,Allergic gastroenteritis and colitis (disorder),Dehydration and gastroenteritis
34,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190368000,Type I diabetes mellitus with ulcer (disorder),Diabetes complications
35,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,111552007,Diabetes mellitus without complication (disorder),Diabetes complications
36,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,60899001,Hypertensive heart disease without congestive heart failure (disorder),Hypertension
37,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,41207000,Adenoviral pneumonia (disorder),Influencia and pneumonia
38,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,87522002,Iron deficiency anemia (disorder),Iron-deficiency anaemia
39,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,128846006,Myelodysplastic syndrome with ring sideroblasts and single lineage dysplasia (morphologic abnormality),Iron-deficiency anaemia
40,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,48974009,Acute gastric ulcer with hemorrhage and perforation (disorder),Perforated/bleeding ulcer
41,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,2901004,Melena (disorder),Perforated/bleeding ulcer
42,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,68566005,Urinary tract infectious disease (disorder),Pyelonephritis
43,,,,,Pyelonephritis
44,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,413439005,Acute ischemic heart disease (disorder),angina
45,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,29857009,Chest pain (finding),angina
46,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,70759006,Pyoderma (disorder),Cellulitis
47,,,,,Cellulitis
48,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,307418008,Noninfective enteritis and colitis (disorder),Dehydration and gastroenteritis
49,,,,,Dehydration and gastroenteritis
50,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190368000,Type I diabetes mellitus with ulcer (disorder),Diabetes complications
51,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,195881003,Pneumonia caused by respiratory syncytial virus (disorder),Influencia and pneumonia
52,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,87522002,Iron deficiency anemia (disorder),Iron-deficiency anaemia
53,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,128848007,Refractory anemia with excess blasts in transformation (morphologic abnormality),Iron-deficiency anaemia
54,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,57246001,Chronic gastric ulcer with hemorrhage (disorder),Perforated/bleeding ulcer
55,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,74474003,Gastrointestinal hemorrhage (disorder),Perforated/bleeding ulcer
56,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,428255004,Tubulointerstitial nephritis (disorder),Pyelonephritis
57,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,413439005,Acute ischemic heart disease (disorder),angina
58,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,29857009,Chest pain (finding),angina
59,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,430348006,Localized infection of skin AND/OR subcutaneous tissue (disorder),Cellulitis
60,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,200645004,Cellulitis and abscess of face (disorder),Cellulitis
61,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,307418008,Noninfective enteritis and colitis (disorder),Dehydration and gastroenteritis
62,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,240370009,Cryptosporidiosis (disorder),Dehydration and gastroenteritis
63,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190368000,Type I diabetes mellitus with ulcer (disorder),Diabetes complications
64,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,64917006,Parainfluenza virus pneumonia (disorder),Influencia and pneumonia
65,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,128845005,Refractory anemia (morphologic abnormality),Iron-deficiency anaemia
66,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,76181002,Chronic gastric ulcer with hemorrhage and with perforation (disorder),Perforated/bleeding ulcer
67,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,16761005,Esophagitis (disorder),Perforated/bleeding ulcer
68,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,48631008,Pyonephrosis (disorder),Pyelonephritis
69,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,41380003,Radioisotope scan for myocardial infarction (procedure),angina
70,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,430348006,Localized infection of skin AND/OR subcutaneous tissue (disorder),Cellulitis
71,,,,,Dehydration and gastroenteritis
72,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190406000,Ketoacidosis due to malnutrition related diabetes mellitus (disorder),Diabetes complications
73,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,10625191000119102,Bronchopneumonia caused by Group B Streptococcus (disorder),Influencia and pneumonia
74,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,75570004,Viral pneumonia (disorder),Influencia and pneumonia
75,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,717946000,Megaloblastic anemia due to vitamin B12 deficiency secondary to intestinal disease (disorder),Iron-deficiency anaemia
76,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190640006,Active rickets (disorder),Nutritional deficiency
77,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,12847006,Acute duodenal ulcer with hemorrhage (disorder),Perforated/bleeding ulcer
78,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,266433003,Gastroesophageal reflux disease with esophagitis (disorder),Perforated/bleeding ulcer
79,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,171405001,Examination for suspected cardiovascular disease (procedure),angina
80,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,449717009,Cellulitis and abscess of upper limb (disorder),Cellulitis
81,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,24789006,Viral gastroenteritis caused by Norwalk-like agent (disorder),Dehydration and gastroenteritis
82,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190412005,Malnutrition-related diabetes mellitus without complications (disorder),Diabetes complications
83,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,140004,Chronic pharyngitis (disorder),"Ear, nose and throat infections"
84,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,16311000119108,Pneumonia caused by influenza (disorder),Influencia and pneumonia
85,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,75570004,Viral pneumonia (disorder),Influencia and pneumonia
86,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,9094211000001106,Balanced Salt Solution irrigation solution (A A H Pharmaceuticals Ltd) (product),Iron-deficiency anaemia
87,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190641005,Late effect of rickets (disorder),Nutritional deficiency
88,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,86895006,Acute duodenal ulcer with hemorrhage AND perforation (disorder),Perforated/bleeding ulcer
89,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,266435005,Gastroesophageal reflux disease without esophagitis (disorder),Perforated/bleeding ulcer
90,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,200722003,Pyogenic granuloma (disorder),Cellulitis
91,,,,,Cellulitis
92,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,78420004,Inflammation of intestine caused by virus (disorder),Dehydration and gastroenteritis
93,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190331003,Hyperosmolar coma due to type 2 diabetes mellitus (disorder),Diabetes complications
94,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,10625431000119105,Bronchopneumonia caused by Mycoplasma pneumoniae (disorder),Influencia and pneumonia
95,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,233609002,Pneumonia caused by Chlamydiaceae (disorder),Influencia and pneumonia
96,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,10619002,Megaloblastic anemia due to poor nutrition (disorder),Iron-deficiency anaemia
97,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,186626002,Acute hepatitis B with delta-agent (coinfection) without hepatic coma (disorder),Other vaccinepreventable diseases
98,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,89469000,Chronic duodenal ulcer with hemorrhage (disorder),Perforated/bleeding ulcer
99,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,30811009,Ulcer of esophagus (disorder),Perforated/bleeding ulcer
100,,,,,Cellulitis
101,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,266071000,Intestinal infectious disease (disorder),Dehydration and gastroenteritis
102,,,,,Dental conditions
103,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,385041000000108,Diabetes mellitus with multiple complications (disorder),Diabetes complications
104,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,53084003,Bacterial pneumonia (disorder),Influencia and pneumonia
