,id,source_code,source_description,mapPriority,term,target_code,active,conceptActive,target_description,module,definitionStatus,concept
0,57931,O75.3,Other infection during labour,1,Infection of obstetric surgical wound (disorder),200125006,True,True,Infection of obstetric surgical wound (disorder),900000000000207008,Fully defined,Infection of obstetric surgical wound
1,57932,O86.0,Infection of obstetric surgical wound,2,Infection of obstetric surgical wound (disorder),200125006,True,True,Infection of obstetric surgical wound (disorder),900000000000207008,Fully defined,Infection of obstetric surgical wound
2,57931,O75.3,Other infection during labour,1,Infection of obstetric surgical wound,200125006,True,True,Infection of obstetric surgical wound (disorder),900000000000207008,Fully defined,Infection of obstetric surgical wound
3,57932,O86.0,Infection of obstetric surgical wound,2,Infection of obstetric surgical wound,200125006,True,True,Infection of obstetric surgical wound (disorder),900000000000207008,Fully defined,Infection of obstetric surgical wound
4,,,,,Incision and drainage of rectal abscess (procedure),8324006,True,True,Incision and drainage of rectal abscess (procedure),900000000000207008,Fully defined,Rectal abscess
5,,,,,Incision and drainage of rectal abscess,8324006,True,True,Incision and drainage of rectal abscess (procedure),900000000000207008,Fully defined,Rectal abscess
6,51555,K61.1,Rectal abscess,1,Rectal abscess (disorder),197166005,True,True,Rectal abscess (disorder),900000000000207008,Fully defined,Rectal abscess
7,51555,K61.1,Rectal abscess,1,Rectal abscess,197166005,True,True,Rectal abscess (disorder),900000000000207008,Fully defined,Rectal abscess
8,262208,N76.2,Acute vulvitis,1,Acute vulvitis (disorder),33028007,True,True,Acute vulvitis (disorder),900000000000207008,Fully defined,Acute vulvitis
9,262208,N76.2,Acute vulvitis,1,Acute vulvitis,33028007,True,True,Acute vulvitis (disorder),900000000000207008,Fully defined,Acute vulvitis
10,293095,H60.1,Cellulitis of external ear,1,Streptococcal cellulitis of external ear (disorder),402934006,True,True,Streptococcal cellulitis of external ear (disorder),900000000000207008,Fully defined,Cellulitis of external ear
11,293096,B95.1,"Streptococcus, group B, as the cause of diseases classified to other chapters",1,Streptococcal cellulitis of external ear (disorder),402934006,True,True,Streptococcal cellulitis of external ear (disorder),900000000000207008,Fully defined,Cellulitis of external ear
12,293097,B95.2,Streptococcus group D and enterococcus as the cause of diseases classified to other chapters,2,Streptococcal cellulitis of external ear (disorder),402934006,True,True,Streptococcal cellulitis of external ear (disorder),900000000000207008,Fully defined,Cellulitis of external ear
13,293098,B95.3,Streptococcus pneumoniae as the cause of diseases classified to other chapters,3,Streptococcal cellulitis of external ear (disorder),402934006,True,True,Streptococcal cellulitis of external ear (disorder),900000000000207008,Fully defined,Cellulitis of external ear
14,293099,B95.4,Other streptococcus as the cause of diseases classified to other chapters,4,Streptococcal cellulitis of external ear (disorder),402934006,True,True,Streptococcal cellulitis of external ear (disorder),900000000000207008,Fully defined,Cellulitis of external ear
15,293100,B95.5,Unspecified streptococcus as the cause of diseases classified to other chapters,5,Streptococcal cellulitis of external ear (disorder),402934006,True,True,Streptococcal cellulitis of external ear (disorder),900000000000207008,Fully defined,Cellulitis of external ear
16,293095,H60.1,Cellulitis of external ear,1,Streptococcal cellulitis of external ear,402934006,True,True,Streptococcal cellulitis of external ear (disorder),900000000000207008,Fully defined,Cellulitis of external ear
17,293096,B95.1,"Streptococcus, group B, as the cause of diseases classified to other chapters",1,Streptococcal cellulitis of external ear,402934006,True,True,Streptococcal cellulitis of external ear (disorder),900000000000207008,Fully defined,Cellulitis of external ear
18,293097,B95.2,Streptococcus group D and enterococcus as the cause of diseases classified to other chapters,2,Streptococcal cellulitis of external ear,402934006,True,True,Streptococcal cellulitis of external ear (disorder),900000000000207008,Fully defined,Cellulitis of external ear
19,293098,B95.3,Streptococcus pneumoniae as the cause of diseases classified to other chapters,3,Streptococcal cellulitis of external ear,402934006,True,True,Streptococcal cellulitis of external ear (disorder),900000000000207008,Fully defined,Cellulitis of external ear
20,293099,B95.4,Other streptococcus as the cause of diseases classified to other chapters,4,Streptococcal cellulitis of external ear,402934006,True,True,Streptococcal cellulitis of external ear (disorder),900000000000207008,Fully defined,Cellulitis of external ear
21,293100,B95.5,Unspecified streptococcus as the cause of diseases classified to other chapters,5,Streptococcal cellulitis of external ear,402934006,True,True,Streptococcal cellulitis of external ear (disorder),900000000000207008,Fully defined,Cellulitis of external ear
