,id,source_code,source_description,mapPriority,term,target_code,active,conceptActive,target_description,module,definitionStatus,concept
0,,,,,Specimen from abscess of Bartholin's gland,16215171000119102,True,True,Specimen from abscess of Bartholin gland (specimen),900000000000207008,Fully defined,Abscess of Bartholin's gland
1,389465,N75.1,Abscess of Bartholin gland,1,Abscess of Bartholin's gland (disorder),67624004,True,True,Abscess of Bartholin's gland (disorder),900000000000207008,Fully defined,Abscess of Bartholin's gland
2,1843725,N75.1,Abscess of Bartholin gland,1,Abscess of right Bartholin's gland,15965501000119100,True,True,Abscess of right greater vestibular gland (disorder),900000000000207008,Fully defined,Abscess of Bartholin's gland
3,1843741,N75.1,Abscess of Bartholin gland,1,Abscess of left Bartholin's gland,15965541000119103,True,True,Abscess of left greater vestibular gland (disorder),900000000000207008,Fully defined,Abscess of Bartholin's gland
4,389465,N75.1,Abscess of Bartholin gland,1,Abscess of Bartholin's gland,67624004,True,True,Abscess of Bartholin's gland (disorder),900000000000207008,Fully defined,Abscess of Bartholin's gland
5,,,,,Marsupialisation of Bartholin's gland cyst,19243001,True,True,Destruction of lesion of Bartholin's gland by marsupialization (procedure),900000000000207008,Fully defined,Cyst of Bartholin's gland
6,,,,,Marsupialization of Bartholin's gland cyst,19243001,True,True,Destruction of lesion of Bartholin's gland by marsupialization (procedure),900000000000207008,Fully defined,Cyst of Bartholin's gland
7,365540,N75.0,Cyst of Bartholin gland,1,Cyst of Bartholin's gland duct (disorder),57044006,True,True,Cyst of Bartholin's gland duct (disorder),900000000000207008,Fully defined,Cyst of Bartholin's gland
8,,,,,Destruction of Bartholin's gland or cyst,2742009,True,True,Destruction of Bartholin's gland (procedure),900000000000207008,Fully defined,Cyst of Bartholin's gland
9,365540,N75.0,Cyst of Bartholin gland,1,Cyst of Bartholin's gland duct,57044006,True,True,Cyst of Bartholin's gland duct (disorder),900000000000207008,Fully defined,Cyst of Bartholin's gland
10,365540,N75.0,Cyst of Bartholin gland,1,Cyst of Bartholin's gland,57044006,True,True,Cyst of Bartholin's gland duct (disorder),900000000000207008,Fully defined,Cyst of Bartholin's gland
11,54330,P01.8,Fetus and newborn affected by other maternal complications of pregnancy,1,Hyperemesis gravidarum with metabolic disturbance - not delivered (disorder),199028004,True,True,Hyperemesis gravidarum with metabolic disturbance - not delivered (disorder),900000000000207008,Primitive,Hyperemesis gravidarum with metabolic disturbance
12,54331,O21.1,Hyperemesis gravidarum with metabolic disturbance,2,Hyperemesis gravidarum with metabolic disturbance - not delivered (disorder),199028004,True,True,Hyperemesis gravidarum with metabolic disturbance - not delivered (disorder),900000000000207008,Primitive,Hyperemesis gravidarum with metabolic disturbance
13,54328,P01.8,Fetus and newborn affected by other maternal complications of pregnancy,1,Hyperemesis gravidarum with metabolic disturbance - delivered (disorder),199027009,True,True,Hyperemesis gravidarum with metabolic disturbance - delivered (disorder),900000000000207008,Primitive,Hyperemesis gravidarum with metabolic disturbance
14,54329,O21.1,Hyperemesis gravidarum with metabolic disturbance,2,Hyperemesis gravidarum with metabolic disturbance - delivered (disorder),199027009,True,True,Hyperemesis gravidarum with metabolic disturbance - delivered (disorder),900000000000207008,Primitive,Hyperemesis gravidarum with metabolic disturbance
15,54330,P01.8,Fetus and newborn affected by other maternal complications of pregnancy,1,Hyperemesis gravidarum with metabolic disturbance - not delivered,199028004,True,True,Hyperemesis gravidarum with metabolic disturbance - not delivered (disorder),900000000000207008,Primitive,Hyperemesis gravidarum with metabolic disturbance
16,54331,O21.1,Hyperemesis gravidarum with metabolic disturbance,2,Hyperemesis gravidarum with metabolic disturbance - not delivered,199028004,True,True,Hyperemesis gravidarum with metabolic disturbance - not delivered (disorder),900000000000207008,Primitive,Hyperemesis gravidarum with metabolic disturbance
17,54328,P01.8,Fetus and newborn affected by other maternal complications of pregnancy,1,Hyperemesis gravidarum with metabolic disturbance - delivered,199027009,True,True,Hyperemesis gravidarum with metabolic disturbance - delivered (disorder),900000000000207008,Primitive,Hyperemesis gravidarum with metabolic disturbance
18,54329,O21.1,Hyperemesis gravidarum with metabolic disturbance,2,Hyperemesis gravidarum with metabolic disturbance - delivered,199027009,True,True,Hyperemesis gravidarum with metabolic disturbance - delivered (disorder),900000000000207008,Primitive,Hyperemesis gravidarum with metabolic disturbance
19,54324,P01.8,Fetus and newborn affected by other maternal complications of pregnancy,1,Hyperemesis gravidarum with metabolic disturbance (disorder),199025001,True,True,Hyperemesis gravidarum with metabolic disturbance (disorder),900000000000207008,Primitive,Hyperemesis gravidarum with metabolic disturbance
20,54325,O21.1,Hyperemesis gravidarum with metabolic disturbance,2,Hyperemesis gravidarum with metabolic disturbance (disorder),199025001,True,True,Hyperemesis gravidarum with metabolic disturbance (disorder),900000000000207008,Primitive,Hyperemesis gravidarum with metabolic disturbance
21,54324,P01.8,Fetus and newborn affected by other maternal complications of pregnancy,1,Hyperemesis gravidarum with metabolic disturbance,199025001,True,True,Hyperemesis gravidarum with metabolic disturbance (disorder),900000000000207008,Primitive,Hyperemesis gravidarum with metabolic disturbance
22,54325,O21.1,Hyperemesis gravidarum with metabolic disturbance,2,Hyperemesis gravidarum with metabolic disturbance,199025001,True,True,Hyperemesis gravidarum with metabolic disturbance (disorder),900000000000207008,Primitive,Hyperemesis gravidarum with metabolic disturbance
23,49008,P01.8,Fetus and newborn affected by other maternal complications of pregnancy,1,Mild hyperemesis gravidarum (disorder),19569008,True,True,Mild hyperemesis gravidarum (disorder),900000000000207008,Primitive,Mild hyperemesis gravidarum
24,49009,O21.0,Mild hyperemesis gravidarum,2,Mild hyperemesis gravidarum (disorder),19569008,True,True,Mild hyperemesis gravidarum (disorder),900000000000207008,Primitive,Mild hyperemesis gravidarum
25,49008,P01.8,Fetus and newborn affected by other maternal complications of pregnancy,1,Mild hyperemesis gravidarum,19569008,True,True,Mild hyperemesis gravidarum (disorder),900000000000207008,Primitive,Mild hyperemesis gravidarum
26,49009,O21.0,Mild hyperemesis gravidarum,2,Mild hyperemesis gravidarum,19569008,True,True,Mild hyperemesis gravidarum (disorder),900000000000207008,Primitive,Mild hyperemesis gravidarum
27,419996,P01.8,Fetus and newborn affected by other maternal complications of pregnancy,1,Threatened abortion in second trimester (disorder),75933004,True,True,Threatened abortion in second trimester (disorder),900000000000207008,Primitive,Threatened abortion
